LAKEFORK BASIN	10900 3.4 3.5 3.9 3.9 3.7 2.2 2.4 2.9 2.9 3 3.7 3.5
LASAL MOUNTAIN	9850 3.9 3.6 4.6 4.4 2.4 1.1 1.7 2.4 2.4 3.1 3.1 3.2
LILY LAKE	9050 2.9 2.8 3.3 3.5 3 1.7 1.3 1.8 1.8 2.5 3.2 2.9
LITTLE BEAR	6550 4.5 4.4 3.8 3.3 3.4 1.6 1.2 1.3 2 2.9 3.9 4.3
LITTLE GRASSY	6100 3.2 4 3 1.7 1 0.6 0.8 1.8 1.7 1.7 2.2 2.6
LONG FLAT	8000 2.2 2.5 2.9 2.1 1.2 0.6 1.3 2.2 1.7 1.9 1.9 2
LONG VALLEY JCT	7360 2.3 2.7 2.7 1.6 1.2 0.6 1.1 1.6 1.4 1.7 1.8 2.1
LOOKOUT PEAK	8200 5.6 5 5.3 4.8 3.6 1.5 1.2 1 1.9 3.7 5.6 5.7
MAMMOTH-COTTONWOOD	8800 3.2 2.6 2.9 2.6 2.3 1.3 1.3 1.8 2 2.3 2.8 2.5
MERCHANT VALLEY	8750 3 3.1 3.4 3.2 2.5 1.1 1.6 2.5 2.1 1.9 2.3 2.6
MIDWAY VALLEY	9800 3.8 4.8 5.1 3.4 2.9 1.4 2 2.8 2.4 2.4 3 3.2
MILL-D NORTH	8960 4.5 4.6 5.3 5.1 3.8 1.5 1.3 1.3 2 3.5 4.8 4.6
MINING FORK	8000 4.1 4.1 5.2 4.1 4.6 2.1 1.8 2 2.3 2.8 3.5 4
MONTE CRISTO	8960 4.6 4.4 4.6 4.6 3.7 1.7 1 1.4 2.2 2.9 4.4 4.8
MOSBY MTN.	9500 2 2.4 2.8 2.9 3.2 1.9 2 2.2 2.4 2.5 2.3 2
PARLEY'S SUMMIT	7500 3.5 3.5 4 3.5 3.1 1.5 1.1 1.3 2.2 3.3 3.7 3.7
PAYSON R.S.	8050 2.9 2.9 3.2 2.7 2.1 1.1 1.3 1.6 1.8 2.3 2.7 2.8
PICKLE KEG	9600 3.1 3.2 4 3.9 2.4 0.9 1.1 1.8 1.9 2.2 3 3.1
PINE CREEK	8800 2.8 3.3 4.3 4.2 3.1 1.2 1.2 1.8 2.1 2.7 3.1 2.5
RED PINE RIDGE	9200 3.3 3.1 3 2.9 2.3 1.3 1.4 1.9 2.2 2.4 3.1 3.2
ROCK CREEK	7900 2.1 2.5 2 1.8 2.1 1.4 1.7 2 2 1.9 2.2 2
ROCKY BASIN-SETTLEMENT	8900 4 4.3 5.4 5.2 4 1.9 1.2 1.6 2.3 3.4 4.5 4.1
SEELEY CREEK	10000 2.2 2.5 2.8 2.6 2.3 1.2 1 1.7 2.1 2.2 2.2 2
SMITH & MOREHOUSE	7600 3.2 3.2 3.7 3.8 3.1 1.6 1.4 1.7 1.7 2.5 3.3 3.4
SNOWBIRD	9640 6.4 6.3 6.7 5.5 4.5 1.9 1.5 2.1 3.2 5.1 6.4 6.9
STEEL CREEK PARK	10100 2.5 2.8 3.4 3.9 3 1.7 2 2 2 2.4 2.8 2.4
STRAWBERRY DIVIDE	8400 4 3.9 3.8 3.2 2.3 1.3 1 1.5 2.1 2.8 3.4 4.1
THAYNES CANYON	9200 4.2 4.6 4.2 3.6 2.9 1.2 1.3 1.8 2 3.1 3.8 4.3
TIMPANOGOS DIVIDE	8140 4.7 4.6 4.3 3.1 3.1 1.7 1.5 1.9 2.6 3.3 3.9 4.4
TONY GROVE LAKE	8400 7 5.8 5.6 4.7 3.6 1.8 1.2 1.6 2.3 3.8 6.2 6.7
TRIAL LAKE	9960 4.6 4.7 4.7 4.2 3.9 2.1 1.7 2.3 2.4 2.9 3.8 4.5
TROUT CREEK	9400 1.7 2.1 3 2.9 2.7 2.1 2.1 2.1 2.1 2.2 2.3 2
VERNON CREEK	7500 2.9 3 3.1 2.3 2.3 1.1 0.8 1.2 1.5 2.1 2.7 2.5
WEBSTER FLAT	9200 2.9 3.6 4 3.1 2.2 1.1 1.9 2.8 2.1 2.3 2.7 2.6
WHITE RIVER #1	8550 2.6 2.3 2.2 1.9 1.8 1 1.2 1.4 1.5 1.9 2.5 2.6
WIDTSOE #3	9500 2.2 2.8 3 2.3 1.8 1 1.5 2 1.8 1.9 2.1 1.9
